Time,
2018-05-01 00:00:00 UTC,601358.8251006996
2018-06-01 00:00:00 UTC,667452.9695718322
2018-07-01 00:00:00 UTC,693352.5528297827
2018-08-01 00:00:00 UTC,617567.4914654455
2018-09-01 00:00:00 UTC,628052.5255656108
2018-10-01 00:00:00 UTC,716142.639187029
2018-11-01 00:00:00 UTC,820088.8338930509
2018-12-01 00:00:00 UTC,758517.2345142857
2019-01-01 00:00:00 UTC,732207.7840883977
2019-02-01 00:00:00 UTC,795541.5376969697
2019-03-01 00:00:00 UTC,748274.2615384615
2019-04-01 00:00:00 UTC,899384.765329645
2019-05-01 00:00:00 UTC,892273.1506036856
2019-06-01 00:00:00 UTC,881335.5802168621
2019-07-01 00:00:00 UTC,798270.2926624737
2019-08-01 00:00:00 UTC,773454.3207869974
2019-09-01 00:00:00 UTC,722032.3736785329
2019-10-01 00:00:00 UTC,725844.3857206012
2019-11-01 00:00:00 UTC,775527.4086198775
2019-12-01 00:00:00 UTC,681710.5255268303
2020-01-01 00:00:00 UTC,683368.3111017307
2020-02-01 00:00:00 UTC,764317.3754512635
