Close,Date,High,Low,Open,Symbol,Unix Timestamp,Volume
245.0,2015-10-08 13:00:00,245.0,0.0,0.0,BTCUSD,1444309200,0.60665438
245.0,2015-10-08 14:00:00,245.0,244.5,245.0,BTCUSD,1444312800,4.453648931
244.92,2015-10-08 15:00:00,245.0,244.92,245.0,BTCUSD,1444316400,3.016925828
244.25,2015-10-08 16:00:00,244.92,244.25,244.92,BTCUSD,1444320000,3.89525246
244.99,2015-10-08 17:00:00,244.99,244.02,244.25,BTCUSD,1444323600,3.920632003
244.0,2015-10-08 18:00:00,244.99,244.0,244.99,BTCUSD,1444327200,3.69047209
244.0,2015-10-08 19:00:00,244.0,244.0,244.0,BTCUSD,1444330800,1.531455679
244.0,2015-10-08 20:00:00,244.0,243.6,244.0,BTCUSD,1444334400,0.17704918
243.95,2015-10-08 21:00:00,244.0,243.95,244.0,BTCUSD,1444338000,0.04132231
243.95,2015-10-08 22:00:00,244.0,243.8,243.95,BTCUSD,1444341600,4.71303031
243.95,2015-10-08 23:00:00,243.95,243.72,243.95,BTCUSD,1444345200,5.708259431
243.6,2015-10-09 00:00:00,243.95,243.6,243.95,BTCUSD,1444348800,3.0
243.6,2015-10-09 01:00:00,243.6,243.6,243.6,BTCUSD,1444352400,0.0
243.6,2015-10-09 02:00:00,243.6,243.6,243.6,BTCUSD,1444356000,0.0
243.6,2015-10-09 03:00:00,243.6,243.6,243.6,BTCUSD,1444359600,0.0
243.6,2015-10-09 04:00:00,243.6,243.6,243.6,BTCUSD,1444363200,0.0
243.6,2015-10-09 05:00:00,243.6,243.6,243.6,BTCUSD,1444366800,0.0
243.6,2015-10-09 06:00:00,243.6,243.6,243.6,BTCUSD,1444370400,0.0
243.6,2015-10-09 07:00:00,243.6,243.6,243.6,BTCUSD,1444374000,0.0
243.6,2015-10-09 08:00:00,243.6,243.6,243.6,BTCUSD,1444377600,0.0
243.6,2015-10-09 09:00:00,243.6,243.6,243.6,BTCUSD,1444381200,0.0
243.6,2015-10-09 10:00:00,243.6,243.6,243.6,BTCUSD,1444384800,0.0
243.63,2015-10-09 11:00:00,243.75,243.6,243.6,BTCUSD,1444388400,1.0
243.63,2015-10-09 12:00:00,243.63,243.63,243.63,BTCUSD,1444392000,0.0
244.0,2015-10-09 13:00:00,244.0,243.63,243.63,BTCUSD,1444395600,3.973254282
244.0,2015-10-09 14:00:00,244.0,244.0,244.0,BTCUSD,1444399200,4.17182852
244.0,2015-10-09 15:00:00,244.0,244.0,244.0,BTCUSD,1444402800,0.0
244.0,2015-10-09 16:00:00,244.0,244.0,244.0,BTCUSD,1444406400,0.0
243.7,2015-10-09 17:00:00,244.0,243.7,244.0,BTCUSD,1444410000,0.22918400000000003
243.7,2015-10-09 18:00:00,243.7,243.7,243.7,BTCUSD,1444413600,0.0
244.06,2015-10-09 19:00:00,244.06,243.7,243.7,BTCUSD,1444417200,3.43344122
249.97,2015-10-09 20:00:00,249.97,244.06,244.06,BTCUSD,1444420800,35.68791657
245.39,2015-10-09 21:00:00,249.97,244.75,249.97,BTCUSD,1444424400,4.531416175
245.39,2015-10-09 22:00:00,245.39,245.39,245.39,BTCUSD,1444428000,0.0
245.39,2015-10-09 23:00:00,245.39,245.39,245.39,BTCUSD,1444431600,0.0008
245.39,2015-10-10 00:00:00,245.39,245.39,245.39,BTCUSD,1444435200,0.0
245.54,2015-10-10 01:00:00,245.54,245.39,245.39,BTCUSD,1444438800,8.119226772000001
245.51,2015-10-10 02:00:00,245.54,245.51,245.54,BTCUSD,1444442400,0.44
245.51,2015-10-10 03:00:00,245.51,245.51,245.51,BTCUSD,1444446000,0.0
245.45,2015-10-10 04:00:00,245.51,244.6,245.51,BTCUSD,1444449600,15.97447591
245.45,2015-10-10 05:00:00,245.45,245.45,245.45,BTCUSD,1444453200,0.0
245.45,2015-10-10 06:00:00,245.45,245.45,245.45,BTCUSD,1444456800,0.0
245.45,2015-10-10 07:00:00,245.45,245.45,245.45,BTCUSD,1444460400,0.0
245.45,2015-10-10 08:00:00,245.45,245.45,245.45,BTCUSD,1444464000,0.0
245.45,2015-10-10 09:00:00,245.45,245.45,245.45,BTCUSD,1444467600,0.0
245.45,2015-10-10 10:00:00,245.45,245.45,245.45,BTCUSD,1444471200,0.0
244.6,2015-10-10 11:00:00,245.45,244.6,245.45,BTCUSD,1444474800,2.69
244.6,2015-10-10 12:00:00,244.6,244.6,244.6,BTCUSD,1444478400,0.0
245.18,2015-10-10 13:00:00,245.18,244.6,244.6,BTCUSD,1444482000,0.997506234
245.18,2015-10-10 14:00:00,245.18,245.18,245.18,BTCUSD,1444485600,0.0
245.37,2015-10-10 15:00:00,245.4,245.0,245.18,BTCUSD,1444489200,6.23239377
245.37,2015-10-10 16:00:00,245.37,245.37,245.37,BTCUSD,1444492800,0.41265196
245.37,2015-10-10 17:00:00,245.37,245.37,245.37,BTCUSD,1444496400,0.0
245.37,2015-10-10 18:00:00,245.37,245.37,245.37,BTCUSD,1444500000,0.0
245.37,2015-10-10 19:00:00,245.37,245.37,245.37,BTCUSD,1444503600,0.0
245.37,2015-10-10 20:00:00,245.37,245.37,245.37,BTCUSD,1444507200,0.0
245.75,2015-10-10 21:00:00,245.75,245.37,245.37,BTCUSD,1444510800,0.07252265
245.75,2015-10-10 22:00:00,245.75,245.75,245.75,BTCUSD,1444514400,0.0
246.3,2015-10-10 23:00:00,246.3,245.75,245.75,BTCUSD,1444518000,4.41
246.3,2015-10-11 00:00:00,246.3,246.3,246.3,BTCUSD,1444521600,0.0
246.3,2015-10-11 01:00:00,246.3,246.3,246.3,BTCUSD,1444525200,0.0
246.3,2015-10-11 02:00:00,246.3,246.3,246.3,BTCUSD,1444528800,0.08099878
246.3,2015-10-11 03:00:00,246.3,246.3,246.3,BTCUSD,1444532400,0.0
246.3,2015-10-11 04:00:00,246.3,246.3,246.3,BTCUSD,1444536000,0.0
246.3,2015-10-11 05:00:00,246.3,246.3,246.3,BTCUSD,1444539600,0.0
246.3,2015-10-11 06:00:00,246.3,246.3,246.3,BTCUSD,1444543200,0.0
246.3,2015-10-11 07:00:00,246.3,246.3,246.3,BTCUSD,1444546800,0.0
246.3,2015-10-11 08:00:00,246.3,246.3,246.3,BTCUSD,1444550400,0.0
246.3,2015-10-11 09:00:00,246.3,246.3,246.3,BTCUSD,1444554000,0.0
246.3,2015-10-11 10:00:00,246.3,246.3,246.3,BTCUSD,1444557600,0.0
246.3,2015-10-11 11:00:00,246.3,246.3,246.3,BTCUSD,1444561200,0.0
246.3,2015-10-11 12:00:00,246.3,246.3,246.3,BTCUSD,1444564800,0.0
246.3,2015-10-11 13:00:00,246.3,246.3,246.3,BTCUSD,1444568400,0.0
246.3,2015-10-11 14:00:00,246.3,246.3,246.3,BTCUSD,1444572000,0.0
246.3,2015-10-11 15:00:00,246.3,246.3,246.3,BTCUSD,1444575600,0.0
246.5,2015-10-11 16:00:00,246.5,245.96,246.3,BTCUSD,1444579200,7.32378358
248.24,2015-10-11 17:00:00,248.24,246.5,246.5,BTCUSD,1444582800,2.597561964
248.24,2015-10-11 18:00:00,248.24,248.24,248.24,BTCUSD,1444586400,0.40183138700000004
248.24,2015-10-11 19:00:00,248.24,248.24,248.24,BTCUSD,1444590000,0.24165162
248.24,2015-10-11 20:00:00,248.24,248.24,248.24,BTCUSD,1444593600,0.0
247.77,2015-10-11 21:00:00,248.24,247.77,248.24,BTCUSD,1444597200,0.5953185000000001
248.24,2015-10-11 22:00:00,248.24,247.77,247.77,BTCUSD,1444600800,2.843825279
249.5,2015-10-11 23:00:00,249.5,248.24,248.24,BTCUSD,1444604400,0.40281183299999995
249.0,2015-10-12 00:00:00,249.5,249.0,249.5,BTCUSD,1444608000,0.40160642
249.0,2015-10-12 01:00:00,249.0,249.0,249.0,BTCUSD,1444611600,0.0
249.0,2015-10-12 02:00:00,249.0,249.0,249.0,BTCUSD,1444615200,0.0
248.98,2015-10-12 03:00:00,249.0,248.98,249.0,BTCUSD,1444618800,7.9387
248.71,2015-10-12 04:00:00,248.98,248.71,248.98,BTCUSD,1444622400,0.23
248.71,2015-10-12 05:00:00,248.71,248.71,248.71,BTCUSD,1444626000,0.0
248.71,2015-10-12 06:00:00,248.71,248.71,248.71,BTCUSD,1444629600,0.0
248.71,2015-10-12 07:00:00,248.71,248.71,248.71,BTCUSD,1444633200,0.0
248.71,2015-10-12 08:00:00,248.71,248.71,248.71,BTCUSD,1444636800,0.86
248.71,2015-10-12 09:00:00,248.71,248.71,248.71,BTCUSD,1444640400,0.0
248.71,2015-10-12 10:00:00,248.71,248.71,248.71,BTCUSD,1444644000,0.41
247.72,2015-10-12 11:00:00,248.71,247.72,248.71,BTCUSD,1444647600,9.79027351
247.72,2015-10-12 12:00:00,247.72,247.72,247.72,BTCUSD,1444651200,0.0
247.62,2015-10-12 13:00:00,247.72,247.62,247.72,BTCUSD,1444654800,25.638
247.62,2015-10-12 14:00:00,247.62,247.62,247.62,BTCUSD,1444658400,0.42
247.62,2015-10-12 15:00:00,247.9,247.62,247.62,BTCUSD,1444662000,4.91
247.91,2015-10-12 16:00:00,247.91,247.62,247.62,BTCUSD,1444665600,1.96
